Replicate,TFIDF_Hit1Macro,TFIDF_MRRMacro,MPNET_Hit1Macro,MPNET_MRRMacro
197,0.05601045709991177,0.17724929598302255,0.0581181798548703,0.1865959001149656
198,0.03204951303394916,0.15482062223250415,0.009247927280647794,0.13527817936170727
199,0.05028053707159543,0.20615304738338877,0.010631099195585579,0.19992522792841802
200,0.004438419849623324,0.10733307600084858,0.004489308759789743,0.09309223219509341
201,0.05182922207391205,0.16851383015609647,0.05799662544149497,0.1808665899055185
202,0.07986760630262646,0.2114674480932321,0.10270822550403333,0.24075193983881635
203,0.0918569449248603,0.1993952722716421,0.08731568801744825,0.185969200473091
204,0.0073616877203622625,0.11511035047732995,0.0005664421310471525,0.09706981005639617
205,0.017560023593246377,0.12229333208441652,0.006933878145870718,0.1056525208263111
206,0.10641547799282221,0.26409409918953514,0.12436975149695073,0.2804478217806362
207,0.0676158206398901,0.1993763858930238,0.05841127751569116,0.1772091210091554
208,0.017346965840309456,0.15414735054981762,0.06506239115713042,0.21898262118700523
209,0.05841968601537391,0.18646870073571076,0.0978990211015005,0.2185060798864503
210,0.13048162964226753,0.23559875657742585,0.09904484159828018,0.21476326019451872
211,0.05375222233531599,0.16260864052801555,0.050990084857014846,0.15444019922516303
212,0.009044975913397996,0.1326721532101722,0.0047366060838198,0.10282491930420141
213,0.06714624541530083,0.19943962779439783,0.057736326189293335,0.19209268095440288
214,0.09767730384946899,0.20627307756777555,0.12491835484750934,0.22127574232832778
215,0.046517499416095426,0.16541652418805086,0.01641507037532232,0.1350164583693888
216,0.06348389306327944,0.2227924676784858,0.049832228242278655,0.2041964806461648
217,0.008213500737588662,0.11133384263755983,0.009157034552888622,0.1117798041737683
218,0.05500862468577249,0.17435848712280483,0.043844524722825004,0.16583567313358102
219,0.039625805944806476,0.16679486452206668,0.029715975392071426,0.16872543407123938
220,0.0059567943703058715,0.10528321899369988,0.006947217680640641,0.10698483171050355
221,0.027677130469837368,0.17466921960851148,0.04898185747130256,0.21567237401509154
222,0.009762692643176052,0.11295045766831376,0.007862092487246054,0.10527915695934502
223,0.014612969750205637,0.13956386498514659,0.040888870029212855,0.14779427976046028
224,0.04901279462656521,0.19399111560290638,0.0746772762478518,0.21945734118961663
225,0.015139800425287665,0.1342568527885148,0.008883780935506696,0.16186466270702962
226,0.014677943929858061,0.12290602951564604,0.012040167732507347,0.13906692091758838
227,0.04472902984636488,0.17287869226442926,0.008955714559167558,0.12564623563696709
228,0.09747483555048665,0.2533346166554021,0.09570625394234525,0.24804617683814337
229,0.17143542215922927,0.26831584890797516,0.17046897838629582,0.2657186540900814
230,0.006253078186095528,0.13432201202855157,0.0022056620649418307,0.11919429213801873
231,0.02487171709645185,0.15468949887105798,0.07204067682623905,0.2196956346399572
232,0.02398753812969165,0.16300877273001566,0.004432314500097273,0.1533185520620938
233,0.07475004498789348,0.20051813610019542,0.12303921928406554,0.21960587258691666
234,0.016829129094970984,0.17672302313589142,0.02008800079190912,0.15382264950786922
235,0.026069155617382378,0.2032754694239745,0.02289453508903284,0.20899444318446486
236,0.04704183405088775,0.20279171132802384,0.009922205579979814,0.162337609770452
237,0.04177980147810067,0.1417330107523899,0.04199483242187496,0.14676242196519132
238,0.030946182619231342,0.17607260427528906,0.00918407404942788,0.14654302748528814
